State,Name,Year,Crimes,Gini,HSPercent
alabama,hoover,2016,0.3505,0.473,0.7
alabama,hoover,2015,0.4697,0.422,0.709
alabama,hoover,2014,0.2357,0.455,0.745
alabama,hoover,2013,0.1189,0.425,0.709
alabama,hoover,2012,0.7288,0.435,0.681
alabama,hoover,2011,0.2439,0.43,0.683
alabama,hoover,2010,0.2678,0.402,0.727
alabama,hoover,2009,0.8483,0.46,0.72
alabama,hoover,2008,0.2877,0.436,0.807
alaska,anchorage,2016,0.1337,0.402,0.699
alaska,anchorage,2015,0.166,0.453,0.693
alaska,anchorage,2014,0.1991,0.417,0.694
alaska,anchorage,2013,0.2672,0.404,0.687
alaska,anchorage,2012,0.2006,0.42,0.686
alaska,anchorage,2011,0.2694,0.414,0.676
alaska,anchorage,2010,0.2411,0.427,0.683
alaska,anchorage,2009,0.2142,0.399,0.692
alaska,anchorage,2008,0.2815,0.412,0.671
alaska,anchorage,2007,0.2161,0.429,0.671
arizona,gilbert,2016,0.0391,0.381,0.606
arizona,gilbert,2015,0.1617,0.365,0.658
arizona,gilbert,2014,0.085,0.368,0.643
arizona,gilbert,2013,0.0444,0.381,0.651
arizona,gilbert,2012,0.0933,0.372,0.67
arizona,gilbert,2011,0.0946,0.385,0.621
arizona,gilbert,2009,0.2269,0.334,0.651
arizona,gilbert,2008,0.3387,0.356,0.535
arizona,gilbert,2007,0.1661,0.361,0.661
arizona,glendale,2016,0.0412,0.454,0.647
arizona,glendale,2015,0.3328,0.46,0.609
arizona,glendale,2014,0.3801,0.467,0.62
arizona,glendale,2013,0.2991,0.466,0.602
arizona,glendale,2012,0.3434,0.438,0.611
arizona,glendale,2011,0.3914,0.433,0.63
arizona,glendale,2010,0.5298,0.427,0.54
arizona,glendale,2009,0.3117,0.414,0.596
arizona,glendale,2008,0.4791,0.428,0.542
arizona,glendale,2007,0.2011,0.455,0.548
arizona,mesa,2016,0.1045,0.457,0.673
arizona,mesa,2015,0.0849,0.452,0.662
arizona,mesa,2014,0.2164,0.443,0.652
arizona,mesa,2013,0.0438,0.438,0.652
arizona,mesa,2012,0.0443,0.438,0.657
arizona,mesa,2011,0.1797,0.433,0.648
arizona,mesa,2010,0.1546,0.425,0.621
arizona,mesa,2009,0.2846,0.419,0.653
arizona,mesa,2008,0.198,0.421,0.655
arizona,mesa,2007,0.0653,0.415,0.641
arizona,phoenix,2016,1.103,0.48,0.601
arizona,phoenix,2015,1.481,0.489,0.591
arizona,phoenix,2014,1.1962,0.481,0.595
arizona,phoenix,2013,0.5392,0.479,0.595
arizona,phoenix,2012,0.8145,0.469,0.585
arizona,phoenix,2011,0.839,0.472,0.579
arizona,phoenix,2010,0.8741,0.485,0.545
arizona,phoenix,2009,0.5612,0.464,0.551
arizona,phoenix,2008,0.5189,0.461,0.538
arizona,phoenix,2007,0.3031,0.461,0.536
arizona,tempe,2016,0.056,0.475,0.828
arizona,tempe,2014,0.1178,0.474,0.812
arizona,tempe,2013,0.178,0.48,0.757
arizona,tempe,2012,0.3011,0.481,0.783
arizona,tempe,2011,0.1829,0.459,0.751
arizona,tempe,2010,0.2312,0.459,0.681
arizona,tempe,2009,0.3402,0.477,0.741
arizona,tempe,2008,0.2919,0.449,0.699
arizona,tempe,2007,0.3586,0.467,0.717
arizona,yuma,2016,0.4224,0.443,0.585
arizona,yuma,2015,0.4259,0.448,0.589
arizona,yuma,2014,1.5205,0.482,0.592
arizona,yuma,2013,1.0415,0.455,0.549
arizona,yuma,2012,0.2093,0.424,0.568
arizona,yuma,2011,0.3179,0.438,0.556
arizona,yuma,2010,0.2265,0.385,0.606
arizona,yuma,2009,0.3324,0.418,0.54
arizona,yuma,2008,0.1125,0.414,0.628
arizona,yuma,2007,0.1137,0.422,0.623
california,antioch,2016,0.1784,0.41,0.644
california,antioch,2015,0.7237,0.395,0.627
california,antioch,2014,0.2772,0.422,0.651
california,antioch,2013,0.1879,0.434,0.625
california,antioch,2012,0.3809,0.431,0.628
california,antioch,2010,0.4896,0.404,0.631
california,antioch,2009,0.0993,0.419,0.618
california,antioch,2008,0.1961,0.402,0.563
california,antioch,2007,0.0985,0.38,0.607
california,bakersfield,2016,0.2112,0.45,0.568
california,bakersfield,2015,0.107,0.457,0.57
california,bakersfield,2014,0.1633,0.444,0.571
california,bakersfield,2013,0.0829,0.448,0.565
california,bakersfield,2012,0.1125,0.448,0.55
california,bakersfield,2011,0.1422,0.461,0.55
california,bakersfield,2010,0.12,0.442,0.573
california,bakersfield,2009,0.0613,0.445,0.528
california,bakersfield,2008,0.1255,0.434,0.548
california,bakersfield,2007,0.2683,0.445,0.574
california,berkeley,2016,1.0599,0.531,0.83
california,berkeley,2015,0.3323,0.522,0.842
california,berkeley,2014,0.2548,0.536,0.853
california,berkeley,2013,1.1186,0.556,0.837
california,berkeley,2012,0.6959,0.544,0.849
california,berkeley,2011,0.3512,0.534,0.842
california,berkeley,2010,0.0974,0.532,0.91
california,berkeley,2008,0.296,0.532,0.9
california,berkeley,2007,0.9838,0.512,0.847
california,burbank,2016,0.0946,0.463,0.719
california,burbank,2015,0.0945,0.471,0.703
california,burbank,2014,0.0952,0.425,0.713
california,burbank,2013,0.4774,0.449,0.702
california,burbank,2012,0.8567,0.437,0.7
california,burbank,2011,0.4782,0.419,0.7
california,burbank,2010,0.484,0.439,0.708
california,burbank,2009,0.8684,0.433,0.723
california,burbank,2008,0.7628,0.412,0.692
california,burbank,2007,0.1904,0.43,0.646
california,carson,2015,0.3202,0.383,0.644
california,carson,2014,0.2154,0.39,0.621
california,carson,2013,0.107,0.395,0.639
california,carson,2012,0.3218,0.359,0.639
california,carson,2011,0.5388,0.369,0.604
california,carson,2010,0.1082,0.397,0.611
california,carson,2009,0.1073,0.381,0.611
california,carson,2008,0.106,0.409,0.617
california,carson,2007,0.3165,0.403,0.655
california,chico,2016,0.3292,0.528,0.745
california,chico,2014,0.3387,0.5,0.777
california,chico,2013,0.4534,0.481,0.758
california,chico,2012,0.5741,0.444,0.742
california,chico,2011,0.5734,0.459,0.729
california,chico,2010,0.8175,0.466,0.758
california,chico,2009,0.3568,0.476,0.77
california,chico,2008,0.6731,0.463,0.882
california,chico,2007,0.2775,0.451,0.866
california,chino,2016,0.3445,0.401,0.636
california,chino,2014,0.3676,0.34,0.627
california,chino,2013,1.1152,0.404,0.57
california,chino,2012,0.376,0.411,0.647
california,chino,2011,0.1267,0.444,0.628
california,chino,2010,0.1188,0.377,0.532
california,chino,2009,0.4728,0.358,0.571
california,chino,2008,0.4957,0.336,0.612
california,chino,2007,0.8943,0.367,0.591
california,chula vista,2016,0.1851,0.426,0.608
california,chula vista,2015,0.1131,0.417,0.623
california,chula vista,2014,0.1154,0.427,0.605
california,chula vista,2013,0.1568,0.446,0.577
california,chula vista,2012,0.1601,0.411,0.61
california,chula vista,2011,0.2431,0.411,0.611
california,chula vista,2010,0.131,0.392,0.645
california,chula vista,2009,0.5819,0.401,0.564
california,chula vista,2008,0.0914,0.398,0.588
california,chula vista,2007,0.0942,0.397,0.618
california,clovis,2016,0.0945,0.456,0.644
california,clovis,2015,0.1927,0.416,0.702
california,clovis,2013,0.4021,0.452,0.654
california,clovis,2012,0.2044,0.459,0.633
california,clovis,2011,0.3101,0.406,0.623
california,clovis,2010,0.6256,0.424,0.647
california,clovis,2009,0.1066,0.427,0.63
california,clovis,2008,0.756,0.42,0.59
california,clovis,2007,0.2291,0.407,0.684
california,compton,2016,0,0.425,0.424
california,compton,2015,0.2018,0.391,0.439
california,compton,2014,0.3054,0.403,0.452
california,compton,2013,0.2043,0.433,0.425
california,compton,2012,0.102,0.437,0.443
california,compton,2010,0.3194,0.393,0.433
california,compton,2009,0.3174,0.403,0.394
california,compton,2008,0.8334,0.38,0.417
california,compton,2007,0.1036,0.418,0.386
california,el monte,2015,0.2556,0.445,0.468
california,el monte,2014,0.4302,0.421,0.446
california,el monte,2013,0.4326,0.45,0.477
california,el monte,2012,0.4334,0.413,0.465
california,el monte,2011,0.5226,0.463,0.432
california,el monte,2010,0.3282,0.406,0.401
california,el monte,2009,0.894,0.412,0.392
california,el monte,2008,0.8858,0.397,0.394
california,el monte,2007,0.4045,0.433,0.365
california,escondido,2016,0.0654,0.438,0.574
california,escondido,2015,0.3954,0.442,0.587
california,escondido,2014,0.267,0.456,0.556
california,escondido,2013,0.5382,0.472,0.528
california,escondido,2012,0.6785,0.468,0.537
california,escondido,2011,0.3434,0.479,0.529
california,escondido,2010,0.5687,0.457,0.555
california,escondido,2009,0.3663,0.447,0.535
california,escondido,2008,0.1499,0.444,0.578
california,escondido,2007,0.1478,0.424,0.528
california,fresno,2016,0.2477,0.506,0.553
california,fresno,2015,0.1536,0.478,0.545
california,fresno,2014,0.2338,0.484,0.542
california,fresno,2013,0.1769,0.483,0.539
california,fresno,2012,0.1581,0.486,0.535
california,fresno,2011,0.04,0.474,0.529
california,fresno,2010,0.1238,0.466,0.531
california,fresno,2009,0.1261,0.492,0.521
california,fresno,2008,0.1906,0.451,0.535
california,fresno,2007,0.129,0.471,0.537
california,fullerton,2016,0.1409,0.461,0.69
california,fullerton,2015,0.071,0.463,0.669
california,fullerton,2014,0.0715,0.469,0.65
california,fullerton,2013,0.1432,0.453,0.674
california,fullerton,2012,0.0722,0.475,0.697
california,fullerton,2011,0.0731,0.465,0.663
california,fullerton,2009,0.0753,0.45,0.65
california,fullerton,2008,0.1494,0.452,0.631
california,fullerton,2007,0.2985,0.439,0.647
california,garden grove,2016,0.1135,0.426,0.592
california,garden grove,2015,0.1136,0.435,0.576
california,garden grove,2014,0.1136,0.431,0.592
california,garden grove,2013,0.228,0.427,0.556
california,garden grove,2012,0.1142,0.447,0.574
california,garden grove,2011,0.2314,0.429,0.569
california,garden grove,2010,0.1804,0.398,0.598
california,garden grove,2009,0.2415,0.394,0.532
california,garden grove,2008,0.5408,0.41,0.608
california,garden grove,2007,0.2984,0.423,0.47
california,glendale,2016,0.0986,0.502,0.71
california,glendale,2015,0.0494,0.494,0.723
california,glendale,2014,0.1015,0.494,0.73
california,glendale,2013,0.0512,0.515,0.694
california,glendale,2012,0.0513,0.468,0.666
california,glendale,2011,0.2578,0.486,0.676
california,glendale,2010,0.2032,0.473,0.653
california,glendale,2009,0.0507,0.485,0.703
california,glendale,2008,0.3999,0.496,0.683
california,glendale,2007,0.2477,0.476,0.699
california,huntington beach,2016,0.294,0.444,0.734
california,huntington beach,2015,0.1476,0.453,0.735
california,huntington beach,2014,0.1506,0.449,0.756
california,huntington beach,2013,0,0.461,0.733
california,huntington beach,2012,0.5137,0.45,0.735
california,huntington beach,2011,0.6243,0.451,0.767
california,huntington beach,2010,0.5167,0.429,0.718
california,huntington beach,2009,0.4657,0.421,0.732
california,huntington beach,2008,0.4614,0.414,0.738
california,huntington beach,2007,0.4587,0.427,0.707
california,irvine,2016,0.075,0.501,0.746
california,irvine,2015,0.1162,0.468,0.758
california,irvine,2014,0.1646,0.466,0.744
california,irvine,2013,0.0424,0.434,0.757
california,irvine,2012,0.1379,0.438,0.788
california,irvine,2011,0.3258,0.441,0.747
california,irvine,2009,0.43,0.426,0.765
california,irvine,2008,0.0991,0.414,0.747
california,irvine,2007,0.2122,0.445,0.819
california,lakewood,2016,0.4883,0.388,0.675
california,lakewood,2015,0.2438,0.356,0.693
california,lakewood,2013,0.2467,0.368,0.639
california,lakewood,2012,0.3686,0.37,0.675
california,lakewood,2011,0.1235,0.369,0.666
california,lakewood,2010,0.5135,0.369,0.659
california,lakewood,2009,0.6338,0.356,0.682
california,lakewood,2008,0.4991,0.359,0.72
california,lakewood,2007,0.3695,0.345,0.723
california,lancaster,2016,0.4322,0.472,0.588
california,lancaster,2015,0.4318,0.472,0.602
california,lancaster,2014,0.3121,0.472,0.581
california,lancaster,2013,0.3129,0.445,0.565
california,lancaster,2012,0.4398,0.456,0.556
california,lancaster,2011,0.5048,0.461,0.579
california,lancaster,2010,0.471,0.463,0.574
california,lancaster,2009,0.9523,0.44,0.546
california,lancaster,2008,0.9708,0.447,0.598
california,lancaster,2007,0.5915,0.447,0.623
california,livermore,2015,0.5661,0.395,0.689
california,livermore,2014,0.3482,0.405,0.69
california,livermore,2013,0.1186,0.405,0.651
california,livermore,2012,0.3623,0.402,0.708
california,livermore,2011,0.2441,0.386,0.694
california,livermore,2010,1.8344,0.395,0.69
california,livermore,2009,0.1246,0.409,0.659
california,livermore,2008,0.2492,0.388,0.664
california,livermore,2007,0.2528,0.388,0.669
california,long beach,2016,0.1469,0.468,0.606
california,long beach,2015,0.2519,0.474,0.608
california,long beach,2014,0.2123,0.477,0.608
california,long beach,2013,0.1065,0.467,0.611
california,long beach,2012,0.0851,0.479,0.596
california,long beach,2011,0.1283,0.482,0.592
california,long beach,2010,0.2163,0.464,0.599
california,long beach,2009,0.4924,0.484,0.576
california,long beach,2008,0.2743,0.474,0.56
california,long beach,2007,0.4391,0.46,0.552
california,los angeles,2016,0.5314,0.41,0.013
california,los angeles,2015,0.4719,0.433,0.012
california,los angeles,2014,0.3635,0.428,0.012
california,los angeles,2013,0.2888,0.419,0.013
california,los angeles,2012,0.3217,0.41,0.011
california,los angeles,2010,0.3592,0.396,0.012
california,los angeles,2009,0.7271,0.422,0.011
california,los angeles,2008,0.7208,0.446,0.011
california,los angeles,2007,0.4408,0.401,0.009
california,modesto,2016,0.5167,0.431,0.598
california,modesto,2015,0.1898,0.44,0.603
california,modesto,2014,0.1943,0.456,0.642
california,modesto,2013,0.1469,0.465,0.635
california,modesto,2012,0.2443,0.458,0.608
california,modesto,2011,0.1965,0.452,0.589
california,modesto,2010,0.2943,0.474,0.575
california,modesto,2009,0.3888,0.44,0.555
california,modesto,2008,0.4806,0.453,0.55
california,modesto,2007,0.383,0.441,0.535
california,moreno valley,2015,0.0487,0.393,0.539
california,moreno valley,2014,0.1971,0.405,0.539
california,moreno valley,2013,0.0497,0.392,0.535
california,moreno valley,2012,0.0501,0.386,0.53
california,moreno valley,2011,0.1022,0.417,0.517
california,moreno valley,2010,0.2027,0.41,0.484
california,moreno valley,2009,0.3067,0.376,0.504
california,moreno valley,2008,0.2628,0.378,0.534
california,moreno valley,2007,0.1111,0.393,0.509
california,newport beach,2015,0.2279,0.53,0.788
california,newport beach,2014,0.2279,0.531,0.791
california,newport beach,2013,0.3423,0.567,0.786
california,newport beach,2012,0.802,0.558,0.798
california,newport beach,2011,0.5801,0.525,0.793
california,newport beach,2010,0.1221,0.524,0.836
california,newport beach,2009,0.877,0.541,0.825
california,newport beach,2008,0.8709,0.55,0.859
california,newport beach,2007,0.2483,0.54,0.865
california,norwalk,2016,0.0931,0.413,0.569
california,norwalk,2015,0.2791,0.373,0.596
california,norwalk,2014,1.0296,0.381,0.59
california,norwalk,2013,0.4694,0.359,0.542
california,norwalk,2012,0.1864,0.396,0.585
california,norwalk,2011,0.3746,0.358,0.549
california,norwalk,2010,0.2935,0.41,0.551
california,norwalk,2009,0.2895,0.374,0.51
california,norwalk,2008,0.5696,0.356,0.545
california,norwalk,2007,0.4682,0.358,0.55
california,oakland,2016,0.2118,0.509,0.647
california,oakland,2015,0.4053,0.507,0.639
california,oakland,2014,0.3415,0.519,0.635
california,oakland,2013,0.2724,0.507,0.65
california,oakland,2012,0.2754,0.524,0.638
california,oakland,2011,0.2277,0.521,0.634
california,oakland,2010,0.3661,0.509,0.597
california,oakland,2009,0.7221,0.51,0.618
california,oakland,2008,0.3783,0.515,0.557
california,oakland,2007,0.0251,0.5,0.549
california,oceanside,2016,0.3947,0.414,0.669
california,oceanside,2015,0.1134,0.433,0.685
california,oceanside,2014,0.2298,0.457,0.683
california,oceanside,2013,0.4637,0.493,0.662
california,oceanside,2012,0.5259,0.431,0.658
california,oceanside,2011,0.2958,0.399,0.66
california,oceanside,2010,0.345,0.422,0.59
california,oceanside,2009,1.2389,0.41,0.672
california,oceanside,2008,1.2017,0.397,0.625
california,oceanside,2007,0.358,0.402,0.632
california,orange,2016,0.0705,0.446,0.661
california,orange,2015,0.2134,0.43,0.685
california,orange,2014,0.2131,0.438,0.654
california,orange,2013,0.2138,0.419,0.639
california,orange,2012,0.0716,0.423,0.676
california,orange,2011,0.1449,0.449,0.655
california,orange,2009,0.2225,0.423,0.635
california,orange,2008,0.2945,0.435,0.614
california,orange,2007,0.3672,0.433,0.636
california,oxnard,2016,0.287,0.404,0.488
california,oxnard,2015,0.3378,0.396,0.487
california,oxnard,2014,0.1959,0.392,0.503
california,oxnard,2013,0.0494,0.426,0.493
california,oxnard,2012,0.1982,0.41,0.475
california,oxnard,2011,0.1998,0.402,0.464
california,oxnard,2010,0.4761,0.406,0.469
california,oxnard,2009,0.1609,0.418,0.473
california,oxnard,2008,0.161,0.406,0.404
california,palmdale,2016,0.5018,0.434,0.513
california,palmdale,2015,0.1253,0.436,0.54
california,palmdale,2014,0.1896,0.461,0.514
california,palmdale,2013,0.5111,0.447,0.524
california,palmdale,2011,0.7765,0.407,0.493
california,palmdale,2010,0.4087,0.412,0.512
california,palmdale,2009,0.9715,0.392,0.469
california,palmdale,2008,0.774,0.422,0.517
california,palmdale,2007,0.3682,0.4,0.487
california,pasadena,2016,0.1396,0.512,0.715
california,pasadena,2015,0.141,0.511,0.705
california,pasadena,2014,0.285,0.506,0.709
california,pasadena,2013,0.2158,0.516,0.714
california,pasadena,2012,0.1435,0.505,0.714
california,pasadena,2010,0.2076,0.468,0.62
california,pasadena,2009,1.3837,0.526,0.687
california,pasadena,2008,1.168,0.483,0.607
california,pasadena,2007,0.5516,0.508,0.635
california,redding,2016,1.0879,0.476,0.713
california,redding,2015,1.1954,0.46,0.724
california,redding,2014,0.4375,0.458,0.704
california,redding,2013,0.8788,0.452,0.701
california,redding,2012,1.5389,0.452,0.701
california,redding,2011,0.22,0.454,0.689
california,redding,2010,0.547,0.441,0.663
california,redding,2009,1.4304,0.452,0.693
california,redding,2008,1.8614,0.464,0.713
california,redding,2007,0.995,0.467,0.682
california,redondo beach,2015,0.146,0.399,0.782
california,redondo beach,2014,0.5876,0.408,0.749
california,redondo beach,2013,0.7354,0.44,0.766
california,redondo beach,2012,0.8842,0.425,0.746
california,redondo beach,2011,0.7404,0.426,0.748
california,redondo beach,2010,1.045,0.434,0.748
california,redondo beach,2009,0.7411,0.435,0.788
california,redondo beach,2008,0.7363,0.405,0.732
california,redondo beach,2007,0.1483,0.408,0.779
california,richmond,2016,0.3608,0.423,0.596
california,richmond,2015,0.0911,0.463,0.63
california,richmond,2013,0.2795,0.44,0.583
california,richmond,2012,0.4701,0.48,0.601
california,richmond,2011,0.1906,0.433,0.569
california,richmond,2010,0.4834,0.456,0.59
california,richmond,2009,0.0983,0.438,0.601
california,richmond,2008,0.4879,0.455,0.64
california,richmond,2007,0.097,0.409,0.548
california,riverside,2016,0.2455,0.426,0.618
california,riverside,2015,0.2167,0.433,0.621
california,riverside,2014,0.4069,0.428,0.61
california,riverside,2013,0.474,0.437,0.592
california,riverside,2012,0.3827,0.448,0.582
california,riverside,2011,0.8132,0.454,0.589
california,riverside,2010,0.6957,0.433,0.583
california,riverside,2009,0.7014,0.41,0.568
california,riverside,2008,0.6682,0.427,0.588
california,riverside,2007,0.6491,0.419,0.607
california,sacramento,2016,0.1211,0.462,0.65
california,sacramento,2015,0.1429,0.469,0.633
california,sacramento,2014,0.145,0.497,0.633
california,sacramento,2013,0.3346,0.466,0.644
california,sacramento,2012,0.3357,0.475,0.639
california,sacramento,2011,0.3602,0.459,0.608
california,sacramento,2010,0.5291,0.462,0.605
california,sacramento,2009,0.2783,0.426,0.605
california,sacramento,2008,0.4343,0.433,0.617
california,sacramento,2007,0.6731,0.435,0.597
california,san bernardino,2015,0.1848,0.443,0.496
california,san bernardino,2014,0.0466,0.453,0.476
california,san bernardino,2013,0.14,0.441,0.495
california,san bernardino,2012,0.0465,0.443,0.485
california,san bernardino,2011,0.0942,0.467,0.479
california,san bernardino,2010,0.1004,0.465,0.467
california,san bernardino,2009,0.4486,0.437,0.469
california,san bernardino,2008,0.1992,0.396,0.466
california,san bernardino,2007,0.0998,0.413,0.48
california,san diego,2016,0.2476,0.472,0.7
california,san diego,2015,0.2356,0.471,0.697
california,san diego,2014,0.2484,0.474,0.71
california,san diego,2013,0.3187,0.477,0.689
california,san diego,2012,0.254,0.466,0.697
california,san diego,2011,0.3189,0.465,0.683
california,san diego,2010,0.3731,0.478,0.684
california,san diego,2009,0.4561,0.469,0.694
california,san diego,2008,0.4123,0.461,0.671
california,san diego,2007,0.3473,0.456,0.677
california,san francisco,2015,0.2894,0.521,0.765
california,san francisco,2014,0.2352,0.506,0.769
california,san francisco,2013,0.2878,0.528,0.761
california,san francisco,2012,0.4266,0.523,0.759
california,san francisco,2011,0.5646,0.515,0.748
california,san francisco,2010,0.7696,0.507,0.736
california,san francisco,2009,0.852,0.514,0.754
california,san francisco,2008,0.8994,0.519,0.799
california,san francisco,2007,1.1125,0.497,0.749
california,san jose,2016,0.1824,0.451,0.636
california,san jose,2015,0.0582,0.454,0.645
california,san jose,2014,0.1089,0.44,0.649
california,san jose,2013,0.1512,0.457,0.634
california,san jose,2012,0.1536,0.445,0.628
california,san jose,2011,0.3344,0.454,0.643
california,san jose,2010,0.2474,0.434,0.608
california,san jose,2009,0.4549,0.425,0.621
california,san jose,2008,0.3638,0.436,0.599
california,san jose,2007,0.2607,0.433,0.61
california,san leandro,2016,2.3947,0.425,0.664
california,san leandro,2015,0.3317,0.456,0.666
california,san leandro,2014,0.1128,0.412,0.678
california,san leandro,2013,0.5715,0.428,0.683
california,san leandro,2012,0.3453,0.391,0.681
california,san leandro,2011,0.1163,0.393,0.611
california,san leandro,2010,1.4022,0.405,0.715
california,san leandro,2009,0.2582,0.393,0.643
california,san leandro,2008,0.7714,0.411,0.681
california,san leandro,2007,0.1268,0.413,0.791
california,san mateo,2016,0.1908,0.458,0.719
california,san mateo,2015,0.1917,0.447,0.695
california,san mateo,2014,0.1959,0.448,0.714
california,san mateo,2013,0.0996,0.443,0.723
california,san mateo,2012,0.1007,0.451,0.694
california,san mateo,2011,0.2034,0.455,0.716
california,san mateo,2010,0.1078,0.425,0.755
california,san mateo,2009,0.8729,0.423,0.704
california,san mateo,2008,0.4374,0.453,0.726
california,san mateo,2007,1.0881,0.442,0.714
california,santa clarita,2016,0.4554,0.411,0.58
california,santa clarita,2015,0.1895,0.37,0.602
california,santa clarita,2014,0.3866,0.394,0.579
california,santa clarita,2013,0.244,0.423,0.587
california,santa clarita,2011,0.4484,0.399,0.625
california,santa clarita,2010,0.352,0.389,0.688
california,santa clarita,2009,0.1746,0.396,0.611
california,santa clarita,2008,0.0587,0.383,0.645
california,santa clarita,2007,0.4712,0.391,0.663
california,santa rosa,2016,0.0567,0.43,0.678
california,santa rosa,2015,0.1138,0.444,0.661
california,santa rosa,2013,0.1749,0.423,0.668
california,santa rosa,2012,0.0585,0.445,0.651
california,santa rosa,2011,0.0589,0.436,0.657
california,santa rosa,2010,0.1264,0.438,0.678
california,santa rosa,2009,0.0646,0.445,0.643
california,santa rosa,2008,0.3227,0.44,0.681
california,santa rosa,2007,0.2588,0.438,0.624
california,south gate,2016,0.2066,0.395,0.432
california,south gate,2015,0.2067,0.394,0.426
california,south gate,2014,0.1042,0.385,0.409
california,south gate,2013,0.2092,0.401,0.406
california,south gate,2012,0.1042,0.407,0.415
california,south gate,2011,0.2094,0.392,0.379
california,south gate,2010,0.104,0.386,0.388
california,south gate,2009,0.1029,0.415,0.403
california,south gate,2008,0.2026,0.388,0.344
california,stockton,2016,0.0973,0.471,0.551
california,stockton,2015,0.0984,0.471,0.551
california,stockton,2014,0.1002,0.5,0.555
california,stockton,2013,0.0667,0.475,0.533
california,stockton,2012,0.0669,0.466,0.522
california,stockton,2011,0.1016,0.451,0.526
california,stockton,2010,0.0685,0.438,0.54
california,stockton,2009,0.2388,0.432,0.488
california,stockton,2008,0.3365,0.449,0.46
california,stockton,2007,0.1382,0.429,0.523
california,torrance,2016,0.0671,0.448,0.729
california,torrance,2015,0.067,0.445,0.746
california,torrance,2014,0.0676,0.427,0.736
california,torrance,2013,0.1356,0.421,0.735
california,torrance,2012,0.1353,0.425,0.739
california,torrance,2011,0.068,0.412,0.721
california,torrance,2010,0.2137,0.424,0.738
california,torrance,2009,0.4936,0.431,0.728
california,torrance,2008,0.2098,0.425,0.733
california,turlock,2016,0.4108,0.485,0.583
california,turlock,2015,0.8346,0.463,0.607
california,turlock,2014,0.1413,0.437,0.619
california,turlock,2013,0.1427,0.443,0.604
california,turlock,2012,0.1434,0.455,0.628
california,turlock,2011,0.1442,0.433,0.586
california,turlock,2010,0.2859,0.421,0.599
